rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,description
23,zendaya,87,3.5k,150.7m,5.8m,3.17%,4.8m,20.6b,United States,"Influencer zendaya from United States has 150.7m followers and an influence score of 87. They have posted 3.5k times, average 5.8m likes per post, and maintain an engagement rate of 3.17%%. Their latest posts average around 4.8m likes in total."
24,iamcardib,75,1.6k,140.5m,3.1m,1.10%,1.5m,5.0b,United States,"Influencer iamcardib from United States has 140.5m followers and an influence score of 75. They have posted 1.6k times, average 3.1m likes per post, and maintain an engagement rate of 1.10%%. Their latest posts average around 1.5m likes in total."
25,ddlovato,88,0.08k,139.1m,1.1m,0.27%,363.4k,91.3m,United States,"Influencer ddlovato from United States has 139.1m followers and an influence score of 88. They have posted 0.08k times, average 1.1m likes per post, and maintain an engagement rate of 0.27%%. Their latest posts average around 363.4k likes in total."
26,badgalriri,88,4.8k,135.3m,3.7m,0.02%,0,17.9b,United States,"Influencer badgalriri from United States has 135.3m followers and an influence score of 88. They have posted 4.8k times, average 3.7m likes per post, and maintain an engagement rate of 0.02%%. Their latest posts average around 0 likes in total."
27,kingjames,86,2.3k,130.9m,2.1m,0.92%,1.2m,4.9b,N/A,"Influencer kingjames from N/A has 130.9m followers and an influence score of 86. They have posted 2.3k times, average 2.1m likes per post, and maintain an engagement rate of 0.92%%. Their latest posts average around 1.2m likes in total."
28,theellenshow,87,10.0k,125.1m,420.5k,0.07%,81.7k,4.2b,United States,"Influencer theellenshow from United States has 125.1m followers and an influence score of 87. They have posted 10.0k times, average 420.5k likes per post, and maintain an engagement rate of 0.07%%. Their latest posts average around 81.7k likes in total."
29,realmadrid,90,6.9k,123.4m,996.2k,0.48%,588.3k,6.8b,Spain,"Influencer realmadrid from Spain has 123.4m followers and an influence score of 90. They have posted 6.9k times, average 996.2k likes per post, and maintain an engagement rate of 0.48%%. Their latest posts average around 588.3k likes in total."
30,champagnepapi,85,5.2k,119.6m,1.7m,1.10%,1.3m,9.0b,Netherlands,"Influencer champagnepapi from Netherlands has 119.6m followers and an influence score of 85. They have posted 5.2k times, average 1.7m likes per post, and maintain an engagement rate of 1.10%%. Their latest posts average around 1.3m likes in total."
31,chrisbrownofficial,86,7.3k,118.5m,463.2k,0.22%,255.9k,3.4b,United States,"Influencer chrisbrownofficial from United States has 118.5m followers and an influence score of 86. They have posted 7.3k times, average 463.2k likes per post, and maintain an engagement rate of 0.22%%. Their latest posts average around 255.9k likes in total."
32,fcbarcelona,90,10.0k,111.4m,1.2m,0.64%,706.3k,11.6b,N/A,"Influencer fcbarcelona from N/A has 111.4m followers and an influence score of 90. They have posted 10.0k times, average 1.2m likes per post, and maintain an engagement rate of 0.64%%. Their latest posts average around 706.3k likes in total."
33,billieeilish,73,0.69k,105.2m,8.5m,5.02%,5.2m,5.9b,N/A,"Influencer billieeilish from N/A has 105.2m followers and an influence score of 73. They have posted 0.69k times, average 8.5m likes per post, and maintain an engagement rate of 5.02%%. Their latest posts average around 5.2m likes in total."
34,dualipa,74,1.3k,85.9m,2.1m,1.26%,1.1m,2.6b,United Kingdom,"Influencer dualipa from United Kingdom has 85.9m followers and an influence score of 74. They have posted 1.3k times, average 2.1m likes per post, and maintain an engagement rate of 1.26%%. Their latest posts average around 1.1m likes in total."
35,gal_gadot,85,1.7k,85.6m,1.4m,0.69%,586.5k,2.3b,United States,"Influencer gal_gadot from United States has 85.6m followers and an influence score of 85. They have posted 1.7k times, average 1.4m likes per post, and maintain an engagement rate of 0.69%%. Their latest posts average around 586.5k likes in total."
36,vindiesel,88,1.8k,82.3m,1.4m,0.60%,482.3k,2.5b,United States,"Influencer vindiesel from United States has 82.3m followers and an influence score of 88. They have posted 1.8k times, average 1.4m likes per post, and maintain an engagement rate of 0.60%%. Their latest posts average around 482.3k likes in total."
37,nasa,88,3.6k,81.3m,1.2m,1.53%,1.2m,4.2b,United States,"Influencer nasa from United States has 81.3m followers and an influence score of 88. They have posted 3.6k times, average 1.2m likes per post, and maintain an engagement rate of 1.53%%. Their latest posts average around 1.2m likes in total."
38,priyankachopra,85,3.6k,81.1m,1.6m,1.00%,802.9k,5.6b,United States,"Influencer priyankachopra from United States has 81.1m followers and an influence score of 85. They have posted 3.6k times, average 1.6m likes per post, and maintain an engagement rate of 1.00%%. Their latest posts average around 802.9k likes in total."
39,lalalalisa_m,70,0.87k,80.9m,5.8m,9.00%,7.2m,5.1b,N/A,"Influencer lalalalisa_m from N/A has 80.9m followers and an influence score of 70. They have posted 0.87k times, average 5.8m likes per post, and maintain an engagement rate of 9.00%%. Their latest posts average around 7.2m likes in total."
40,Shakira,88,2.0k,76.1m,975.1k,0.41%,304.7k,1.9b,N/A,"Influencer Shakira from N/A has 76.1m followers and an influence score of 88. They have posted 2.0k times, average 975.1k likes per post, and maintain an engagement rate of 0.41%%. Their latest posts average around 304.7k likes in total."
41,snoopdogg,86,10.0k,75.3m,203.7k,0.17%,125.8k,2.0b,N/A,"Influencer snoopdogg from N/A has 75.3m followers and an influence score of 86. They have posted 10.0k times, average 203.7k likes per post, and maintain an engagement rate of 0.17%%. Their latest posts average around 125.8k likes in total."
42,gigihadid,85,3.3k,75.3m,2.5m,2.56%,1.9m,8.2b,United States,"Influencer gigihadid from United States has 75.3m followers and an influence score of 85. They have posted 3.3k times, average 2.5m likes per post, and maintain an engagement rate of 2.56%%. Their latest posts average around 1.9m likes in total."
43,davidbeckham,86,1.5k,74.9m,1.2m,0.46%,340.9k,1.9b,United States,"Influencer davidbeckham from United States has 74.9m followers and an influence score of 86. They have posted 1.5k times, average 1.2m likes per post, and maintain an engagement rate of 0.46%%. Their latest posts average around 340.9k likes in total."
44,shraddhakapoor,81,1.9k,73.9m,1.6m,1.17%,859.9k,3.0b,N/A,"Influencer shraddhakapoor from N/A has 73.9m followers and an influence score of 81. They have posted 1.9k times, average 1.6m likes per post, and maintain an engagement rate of 1.17%%. Their latest posts average around 859.9k likes in total."
45,victoriassecret,88,2.9k,73.2m,147.0k,0.04%,29.8k,423.5m,United States,"Influencer victoriassecret from United States has 73.2m followers and an influence score of 88. They have posted 2.9k times, average 147.0k likes per post, and maintain an engagement rate of 0.04%%. Their latest posts average around 29.8k likes in total."
46,k.mbappe,86,1.2k,72.7m,2.5m,2.16%,1.6m,2.8b,N/A,"Influencer k.mbappe from N/A has 72.7m followers and an influence score of 86. They have posted 1.2k times, average 2.5m likes per post, and maintain an engagement rate of 2.16%%. Their latest posts average around 1.6m likes in total."
47,nehakakkar,84,2.3k,70.4m,1.5m,0.54%,370.1k,3.5b,India,"Influencer nehakakkar from India has 70.4m followers and an influence score of 84. They have posted 2.3k times, average 1.5m likes per post, and maintain an engagement rate of 0.54%%. Their latest posts average around 370.1k likes in total."
48,nba,87,12.9k,70.1m,370.8k,0.28%,196.9k,4.8b,United States,"Influencer nba from United States has 70.1m followers and an influence score of 87. They have posted 12.9k times, average 370.8k likes per post, and maintain an engagement rate of 0.28%%. Their latest posts average around 196.9k likes in total."
49,shawnmendes,83,2.5k,69.9m,3.5m,2.87%,2.0m,8.8b,Canada,"Influencer shawnmendes from Canada has 69.9m followers and an influence score of 83. They have posted 2.5k times, average 3.5m likes per post, and maintain an engagement rate of 2.87%%. Their latest posts average around 2.0m likes in total."
50,jennierubyjane,76,0.86k,68.9m,5.1m,8.36%,5.7m,4.4b,N/A,"Influencer jennierubyjane from N/A has 68.9m followers and an influence score of 76. They have posted 0.86k times, average 5.1m likes per post, and maintain an engagement rate of 8.36%%. Their latest posts average around 5.7m likes in total."
51,narendramodi,85,0.54k,68.9m,2.9m,3.01%,2.0m,1.6b,India,"Influencer narendramodi from India has 68.9m followers and an influence score of 85. They have posted 0.54k times, average 2.9m likes per post, and maintain an engagement rate of 3.01%%. Their latest posts average around 2.0m likes in total."
52,aliaabhatt,82,1.8k,68.7m,1.8m,3.14%,2.1m,3.3b,India,"Influencer aliaabhatt from India has 68.7m followers and an influence score of 82. They have posted 1.8k times, average 1.8m likes per post, and maintain an engagement rate of 3.14%%. Their latest posts average around 2.1m likes in total."
53,deepikapadukone,83,0.26k,68.4m,1.6m,2.23%,1.5m,419.0m,India,"Influencer deepikapadukone from India has 68.4m followers and an influence score of 83. They have posted 0.26k times, average 1.6m likes per post, and maintain an engagement rate of 2.23%%. Their latest posts average around 1.5m likes in total."
54,tomholland2013,77,1.2k,67.7m,5.4m,10.83%,7.3m,6.6b,N/A,"Influencer tomholland2013 from N/A has 67.7m followers and an influence score of 77. They have posted 1.2k times, average 5.4m likes per post, and maintain an engagement rate of 10.83%%. Their latest posts average around 7.3m likes in total."
55,ronaldinho,78,2.9k,67.7m,872.9k,0.49%,325.7k,2.6b,Brazil,"Influencer ronaldinho from Brazil has 67.7m followers and an influence score of 78. They have posted 2.9k times, average 872.9k likes per post, and maintain an engagement rate of 0.49%%. Their latest posts average around 325.7k likes in total."
56,emmawatson,87,0.34k,67.3m,1.9m,0.01%,0,639.0m,United States,"Influencer emmawatson from United States has 67.3m followers and an influence score of 87. They have posted 0.34k times, average 1.9m likes per post, and maintain an engagement rate of 0.01%%. Their latest posts average around 0 likes in total."
57,bts.bighitofficial,78,1.2k,66.9m,4.1m,5.40%,3.6m,4.9b,Uruguay,"Influencer bts.bighitofficial from Uruguay has 66.9m followers and an influence score of 78. They have posted 1.2k times, average 4.1m likes per post, and maintain an engagement rate of 5.40%%. Their latest posts average around 3.6m likes in total."
58,katrinakaif,85,1.0k,66.3m,1.7m,2.25%,1.5m,1.7b,India,"Influencer katrinakaif from India has 66.3m followers and an influence score of 85. They have posted 1.0k times, average 1.7m likes per post, and maintain an engagement rate of 2.25%%. Their latest posts average around 1.5m likes in total."
59,marvel,82,7.0k,66.2m,332.3k,0.51%,339.0k,2.3b,Turkey,"Influencer marvel from Turkey has 66.2m followers and an influence score of 82. They have posted 7.0k times, average 332.3k likes per post, and maintain an engagement rate of 0.51%%. Their latest posts average around 339.0k likes in total."
60,justintimberlake,87,0.78k,65.9m,600.4k,0.30%,189.4k,470.7m,United States,"Influencer justintimberlake from United States has 65.9m followers and an influence score of 87. They have posted 0.78k times, average 600.4k likes per post, and maintain an engagement rate of 0.30%%. Their latest posts average around 189.4k likes in total."
61,camila_cabello,77,2.9k,65.0m,1.9m,2.19%,1.4m,5.4b,United States,"Influencer camila_cabello from United States has 65.0m followers and an influence score of 77. They have posted 2.9k times, average 1.9m likes per post, and maintain an engagement rate of 2.19%%. Their latest posts average around 1.4m likes in total."
62,willsmith,82,1.4k,63.9m,1.4m,0.02%,0,1.9b,United States,"Influencer willsmith from United States has 63.9m followers and an influence score of 82. They have posted 1.4k times, average 1.4m likes per post, and maintain an engagement rate of 0.02%%. Their latest posts average around 0 likes in total."
63,raffinagita1717,83,17.5k,63.5m,386.9k,0.58%,366.6k,6.8b,Indonesia,"Influencer raffinagita1717 from Indonesia has 63.5m followers and an influence score of 83. They have posted 17.5k times, average 386.9k likes per post, and maintain an engagement rate of 0.58%%. Their latest posts average around 366.6k likes in total."
64,anitta,82,5.1k,63.1m,855.5k,0.69%,426.2k,4.4b,United States,"Influencer anitta from United States has 63.1m followers and an influence score of 82. They have posted 5.1k times, average 855.5k likes per post, and maintain an engagement rate of 0.69%%. Their latest posts average around 426.2k likes in total."
65,sooyaaa__,82,0.83k,62.9m,4.5m,9.43%,5.9m,3.8b,N/A,"Influencer sooyaaa__ from N/A has 62.9m followers and an influence score of 82. They have posted 0.83k times, average 4.5m likes per post, and maintain an engagement rate of 9.43%%. Their latest posts average around 5.9m likes in total."
66,maluma,84,8.2k,62.8m,1.2m,1.12%,696.3k,9.8b,Colombia,"Influencer maluma from Colombia has 62.8m followers and an influence score of 84. They have posted 8.2k times, average 1.2m likes per post, and maintain an engagement rate of 1.12%%. Their latest posts average around 696.3k likes in total."
67,akshaykumar,85,1.9k,62.8m,1.5m,1.01%,624.9k,2.9b,N/A,"Influencer akshaykumar from N/A has 62.8m followers and an influence score of 85. They have posted 1.9k times, average 1.5m likes per post, and maintain an engagement rate of 1.01%%. Their latest posts average around 624.9k likes in total."
68,jacquelinef143,85,2.4k,62.7m,1.1m,1.15%,718.8k,2.8b,India,"Influencer jacquelinef143 from India has 62.7m followers and an influence score of 85. They have posted 2.4k times, average 1.1m likes per post, and maintain an engagement rate of 1.15%%. Their latest posts average around 718.8k likes in total."
69,psg,86,10.0k,61.9m,500.5k,0.52%,322.2k,5.0b,France,"Influencer psg from France has 61.9m followers and an influence score of 86. They have posted 10.0k times, average 500.5k likes per post, and maintain an engagement rate of 0.52%%. Their latest posts average around 322.2k likes in total."
70,roses_are_rosie,82,0.82k,61.8m,4.6m,9.72%,6.0m,3.8b,N/A,"Influencer roses_are_rosie from N/A has 61.8m followers and an influence score of 82. They have posted 0.82k times, average 4.6m likes per post, and maintain an engagement rate of 9.72%%. Their latest posts average around 6.0m likes in total."
71,manchesterunited,85,9.9k,59.6m,381.8k,0.41%,241.6k,3.8b,United Kingdom,"Influencer manchesterunited from United Kingdom has 59.6m followers and an influence score of 85. They have posted 9.9k times, average 381.8k likes per post, and maintain an engagement rate of 0.41%%. Their latest posts average around 241.6k likes in total."
72,anushkasharma,85,1.2k,59.5m,1.9m,2.34%,1.4m,2.2b,N/A,"Influencer anushkasharma from N/A has 59.5m followers and an influence score of 85. They have posted 1.2k times, average 1.9m likes per post, and maintain an engagement rate of 2.34%%. Their latest posts average around 1.4m likes in total."
73,whinderssonnunes,79,2.7k,58.7m,1.6m,0.58%,323.1k,4.4b,Brazil,"Influencer whinderssonnunes from Brazil has 58.7m followers and an influence score of 79. They have posted 2.7k times, average 1.6m likes per post, and maintain an engagement rate of 0.58%%. Their latest posts average around 323.1k likes in total."
74,9gag,86,10.0k,58.1m,672.6k,0.44%,248.6k,6.7b,United States,"Influencer 9gag from United States has 58.1m followers and an influence score of 86. They have posted 10.0k times, average 672.6k likes per post, and maintain an engagement rate of 0.44%%. Their latest posts average around 248.6k likes in total."
75,marcelotwelve,86,2.7k,58.1m,690.9k,0.78%,448.3k,1.9b,Brazil,"Influencer marcelotwelve from Brazil has 58.1m followers and an influence score of 86. They have posted 2.7k times, average 690.9k likes per post, and maintain an engagement rate of 0.78%%. Their latest posts average around 448.3k likes in total."
76,milliebobbybrown,80,0.28k,57.6m,4.0m,8.63%,5.0m,1.1b,United States,"Influencer milliebobbybrown from United States has 57.6m followers and an influence score of 80. They have posted 0.28k times, average 4.0m likes per post, and maintain an engagement rate of 8.63%%. Their latest posts average around 5.0m likes in total."
77,karimbenzema,42,2.0k,56.9m,878.5k,1.62%,918.9k,1.8b,Spain,"Influencer karimbenzema from Spain has 56.9m followers and an influence score of 42. They have posted 2.0k times, average 878.5k likes per post, and maintain an engagement rate of 1.62%%. Their latest posts average around 918.9k likes in total."
78,chrishemsworth,86,0.88k,55.9m,2.8m,3.69%,2.1m,2.5b,Australia,"Influencer chrishemsworth from Australia has 55.9m followers and an influence score of 86. They have posted 0.88k times, average 2.8m likes per post, and maintain an engagement rate of 3.69%%. Their latest posts average around 2.1m likes in total."
79,karolg,83,3.3k,55.6m,3.1m,10.25%,5.7m,10.1b,India,"Influencer karolg from India has 55.6m followers and an influence score of 83. They have posted 3.3k times, average 3.1m likes per post, and maintain an engagement rate of 10.25%%. Their latest posts average around 5.7m likes in total."
80,paulpogba,80,1.3k,55.2m,1.4m,0.85%,462.6k,1.8b,France,"Influencer paulpogba from France has 55.2m followers and an influence score of 80. They have posted 1.3k times, average 1.4m likes per post, and maintain an engagement rate of 0.85%%. Their latest posts average around 462.6k likes in total."
81,iamzlatanibrahimovic,86,0.87k,55.1m,1.5m,1.53%,837.1k,1.3b,N/A,"Influencer iamzlatanibrahimovic from N/A has 55.1m followers and an influence score of 86. They have posted 0.87k times, average 1.5m likes per post, and maintain an engagement rate of 1.53%%. Their latest posts average around 837.1k likes in total."
82,leonardodicaprio,86,1.7k,54.6m,395.5k,0.20%,107.6k,669.3m,N/A,"Influencer leonardodicaprio from N/A has 54.6m followers and an influence score of 86. They have posted 1.7k times, average 395.5k likes per post, and maintain an engagement rate of 0.20%%. Their latest posts average around 107.6k likes in total."
83,juventus,87,10.0k,54.5m,194.8k,0.25%,135.5k,1.9b,N/A,"Influencer juventus from N/A has 54.5m followers and an influence score of 87. They have posted 10.0k times, average 194.8k likes per post, and maintain an engagement rate of 0.25%%. Their latest posts average around 135.5k likes in total."
84,zacefron,86,0.66k,54.5m,2.3m,8.18%,4.4m,1.5b,United States,"Influencer zacefron from United States has 54.5m followers and an influence score of 86. They have posted 0.66k times, average 2.3m likes per post, and maintain an engagement rate of 8.18%%. Their latest posts average around 4.4m likes in total."
85,bellahadid,79,3.2k,54.1m,1.1m,2.06%,1.1m,3.6b,United Kingdom,"Influencer bellahadid from United Kingdom has 54.1m followers and an influence score of 79. They have posted 3.2k times, average 1.1m likes per post, and maintain an engagement rate of 2.06%%. Their latest posts average around 1.1m likes in total."
86,tatawerneck,86,5.6k,53.9m,959.8k,0.51%,266.5k,5.4b,Brazil,"Influencer tatawerneck from Brazil has 53.9m followers and an influence score of 86. They have posted 5.6k times, average 959.8k likes per post, and maintain an engagement rate of 0.51%%. Their latest posts average around 266.5k likes in total."
87,beingsalmankhan,76,1.2k,53.5m,1.4m,1.33%,693.9k,1.6b,India,"Influencer beingsalmankhan from India has 53.5m followers and an influence score of 76. They have posted 1.2k times, average 1.4m likes per post, and maintain an engagement rate of 1.33%%. Their latest posts average around 693.9k likes in total."
88,robertdowneyjr,86,0.42k,53.4m,3.0m,2.05%,1.1m,1.3b,United States,"Influencer robertdowneyjr from United States has 53.4m followers and an influence score of 86. They have posted 0.42k times, average 3.0m likes per post, and maintain an engagement rate of 2.05%%. Their latest posts average around 1.1m likes in total."
89,sunnyleone,84,4.6k,53.4m,764.0k,0.57%,301.3k,3.5b,N/A,"Influencer sunnyleone from N/A has 53.4m followers and an influence score of 84. They have posted 4.6k times, average 764.0k likes per post, and maintain an engagement rate of 0.57%%. Their latest posts average around 301.3k likes in total."
90,ladygaga,83,3.6k,53.2m,1.4m,1.02%,531.6k,5.1b,United States,"Influencer ladygaga from United States has 53.2m followers and an influence score of 83. They have posted 3.6k times, average 1.4m likes per post, and maintain an engagement rate of 1.02%%. Their latest posts average around 531.6k likes in total."
91,dishapatani,74,2.1k,53.0m,1.6m,1.85%,971.7k,3.4b,United States,"Influencer dishapatani from United States has 53.0m followers and an influence score of 74. They have posted 2.1k times, average 1.6m likes per post, and maintain an engagement rate of 1.85%%. Their latest posts average around 971.7k likes in total."
92,sergioramos,87,2.2k,52.8m,1.1m,1.06%,557.9k,2.5b,N/A,"Influencer sergioramos from N/A has 52.8m followers and an influence score of 87. They have posted 2.2k times, average 1.1m likes per post, and maintain an engagement rate of 1.06%%. Their latest posts average around 557.9k likes in total."
93,jbalvin,87,10.0k,52.8m,878.0k,0.66%,340.5k,8.8b,N/A,"Influencer jbalvin from N/A has 52.8m followers and an influence score of 87. They have posted 10.0k times, average 878.0k likes per post, and maintain an engagement rate of 0.66%%. Their latest posts average around 340.5k likes in total."
94,mosalah,22,0.84k,52.5m,1.8m,2.18%,1.1m,1.5b,N/A,"Influencer mosalah from N/A has 52.5m followers and an influence score of 22. They have posted 0.84k times, average 1.8m likes per post, and maintain an engagement rate of 2.18%%. Their latest posts average around 1.1m likes in total."
95,ayutingting92,85,10.0k,52.4m,147.3k,0.11%,56.3k,1.5b,Indonesia,"Influencer ayutingting92 from Indonesia has 52.4m followers and an influence score of 85. They have posted 10.0k times, average 147.3k likes per post, and maintain an engagement rate of 0.11%%. Their latest posts average around 56.3k likes in total."
96,433,79,10.3k,51.2m,863.2k,1.52%,774.2k,8.9b,Netherlands,"Influencer 433 from Netherlands has 51.2m followers and an influence score of 79. They have posted 10.3k times, average 863.2k likes per post, and maintain an engagement rate of 1.52%%. Their latest posts average around 774.2k likes in total."
97,hudabeauty,82,2.4k,50.8m,186.4k,0.04%,16.8k,453.6m,United States,"Influencer hudabeauty from United States has 50.8m followers and an influence score of 82. They have posted 2.4k times, average 186.4k likes per post, and maintain an engagement rate of 0.04%%. Their latest posts average around 16.8k likes in total."
98,adele,84,0.42k,50.7m,4.7m,3.82%,1.9m,2.0b,United States,"Influencer adele from United States has 50.7m followers and an influence score of 84. They have posted 0.42k times, average 4.7m likes per post, and maintain an engagement rate of 3.82%%. Their latest posts average around 1.9m likes in total."
99,michelleobama,85,0.60k,50.7m,700.5k,1.22%,611.2k,421.7m,N/A,"Influencer michelleobama from N/A has 50.7m followers and an influence score of 85. They have posted 0.60k times, average 700.5k likes per post, and maintain an engagement rate of 1.22%%. Their latest posts average around 611.2k likes in total."
100,kritisanon,76,2.7k,50.2m,897.2k,1.21%,604.4k,2.4b,India,"Influencer kritisanon from India has 50.2m followers and an influence score of 76. They have posted 2.7k times, average 897.2k likes per post, and maintain an engagement rate of 1.21%%. Their latest posts average around 604.4k likes in total."
101,jamesrodriguez10,86,1.1k,49.9m,1.4m,0.75%,363.9k,1.5b,Colombia,"Influencer jamesrodriguez10 from Colombia has 49.9m followers and an influence score of 86. They have posted 1.1k times, average 1.4m likes per post, and maintain an engagement rate of 0.75%%. Their latest posts average around 363.9k likes in total."
102,krisjenner,80,6.4k,49.7m,356.8k,0.91%,452.9k,2.3b,United States,"Influencer krisjenner from United States has 49.7m followers and an influence score of 80. They have posted 6.4k times, average 356.8k likes per post, and maintain an engagement rate of 0.91%%. Their latest posts average around 452.9k likes in total."
103,thv,83,0.06k,49.3m,15.4m,25.80%,12.6m,987.4m,N/A,"Influencer thv from N/A has 49.3m followers and an influence score of 83. They have posted 0.06k times, average 15.4m likes per post, and maintain an engagement rate of 25.80%%. Their latest posts average around 12.6m likes in total."
